Target class,Itr #,VB/16,VB/32,VL/16,Sw-B,RN50,RN152,VGG
Maltese Dog,1,95.63,83.31,79.27,98.23,94.69,95.43,98.55
Maltese Dog,2,-,-,73.74,-,-,-,-
Maltese Dog,3,-,-,-,-,-,-,-
Maltese Dog,4,-,-,-,-,-,-,-
Maltese Dog,5,-,-,-,-,-,-,-
Bee,1,86.21,48.65,69.70,98.08,84.47,78.87,97.46
Bee,2,-,-,71.06,-,-,-,-
Bee,3,-,-,-,-,-,-,-
Bee,4,-,-,-,-,-,-,-
Bee,5,-,-,-,-,-,-,-
Cassette,1,96.21,71.96,78.68,97.79,79.41,93.03,98.45
Cassette,2,-,-,76.20,-,-,-,-
Cassette,3,-,-,-,-,-,-,-
Cassette,4,-,-,-,-,-,-,-
Cassette,5,-,-,-,-,-,-,-
Hockey Puck,1,93.77,62.96,69.16,96.78,82.21,78.38,95.98
Hockey Puck,2,-,-,71.44,-,-,-,-
Hockey Puck,3,-,-,-,-,-,-,-
Hockey Puck,4,-,-,-,-,-,-,-
Hockey Puck,5,-,-,-,-,-,-,-
Pretzel,1,95.72,85.05,83.72,98.09,93.32,97.84,98.39
Pretzel,2,-,-,83.80,-,-,-,-
Pretzel,3,-,-,-,-,-,-,-
Pretzel,4,-,-,-,-,-,-,-
Pretzel,5,-,-,-,-,-,-,-
